filer,name,ticker,date,type,current_shares,current_value,previous_shares,previous_value,current_percent,previous_percent,rank,previous_rank,change_in_shares,change_type,sector
BLUECREST CAPITAL MANAGEMENT LLP,SUNTECH POWER HOLDINGS CO LTD,STPFQ,12/31/05,SH,20000,545000,0,0,55.6844,0,1,999999,,new,INDUSTRIALS
BLUECREST CAPITAL MANAGEMENT LLP,Accenture Plc Class A ADR,ACN,12/31/05,SH,1161944,33545000,0,0,3.4274,0,2,999999,,new,INFORMATION TECHNOLOGY
BLUECREST CAPITAL MANAGEMENT LLP,Morgan Stanley,MS,12/31/05,SH,459000,26044000,0,0,2.661,,3,999999,,new,FINANCE
BLUECREST CAPITAL MANAGEMENT LLP,Petroleo Brasileiro SA (Petrobras) ADR,PBR,12/31/05,SH,1308532,23315000,0,0,2.3822,0,4,999999,,new,ENERGY
BLUECREST CAPITAL MANAGEMENT LLP,NDS Group Plc Ads,NNDS,12/31/05,SH,563148,23174000,0,0,2.3678,,5,999999,,new,INFORMATION TECHNOLOGY
BLUECREST CAPITAL MANAGEMENT LLP,Great Atlantic & Pacific Tea Co. of America (The),GAPTQ,12/31/05,SH,678034,21548000,0,0,2.2016,,6,999999,,new,CONSUMER STAPLES
BLUECREST CAPITAL MANAGEMENT LLP,Ciena Corp,CIEN,12/31/05,SH,983417,20445000,0,0,2.0889,,7,999999,,new,INFORMATION TECHNOLOGY
BLUECREST CAPITAL MANAGEMENT LLP,Transocean Ltd,RIG,12/31/05,SH,281267,19601000,0,0,2.0027,,8,999999,,new,ENERGY
BLUECREST CAPITAL MANAGEMENT LLP,Pride  International Inc.,PDE,12/31/05,SH,634131,19500000,0,0,1.9924,,9,999999,,new,ENERGY
BLUECREST CAPITAL MANAGEMENT LLP,"National Oilwell Varco, Inc.",NOV,12/31/05,SH,537640,16855000,0,0,1.7221,,10,999999,,new,ENERGY
BLUECREST CAPITAL MANAGEMENT LLP,Ensco Plc ADR,ESV,12/31/05,SH,376569,16701000,0,0,1.7064,,11,999999,,new,ENERGY
BLUECREST CAPITAL MANAGEMENT LLP,Viacom Inc. (New) Class B,VIAB,12/31/05,SH,398931,16416000,0,0,1.6773,,12,999999,,new,CONSUMER DISCRETIONARY
BLUECREST CAPITAL MANAGEMENT LLP,Sprint Corp,S,12/31/05,SH,698000,16305000,0,0,1.6659,,13,999999,,new,UTILITIES & TELECOMMUNICATIONS
BLUECREST CAPITAL MANAGEMENT LLP,Nova Chemicals Corp.,NCX,12/31/05,SH,431447,14410000,0,0,1.4723,,14,999999,,new,MATERIALS
BLUECREST CAPITAL MANAGEMENT LLP,AU Optronics Corp. ADS,AUO,12/31/05,SH,976440,14229000,0,0,1.4538,,15,999999,,new,INFORMATION TECHNOLOGY
BLUECREST CAPITAL MANAGEMENT LLP,LG Display Co,LPL,12/31/05,SH,654000,14035000,0,0,1.434,,16,999999,,new,INFORMATION TECHNOLOGY
BLUECREST CAPITAL MANAGEMENT LLP,Wthrfrd Intl Plc,WFT,12/31/05,SH,758008,13720000,0,0,1.4018,,17,999999,,new,ENERGY
BLUECREST CAPITAL MANAGEMENT LLP,ArcelorMittal S.A. (New) Sponsored ADR,MT,12/31/05,SH,470755,12395000,0,0,1.2664,,18,999999,,new,MATERIALS
BLUECREST CAPITAL MANAGEMENT LLP,Precision Drilling Corp. (New),PDS,12/31/05,SH,371000,12243000,0,0,1.2509,,19,999999,,new,ENERGY
BLUECREST CAPITAL MANAGEMENT LLP,Cemig-Companhia Energetica Minas Gerais ADR,CIG,12/31/05,SH,1785351,11231000,0,0,1.1475,,20,999999,,new,UTILITIES & TELECOMMUNICATIONS
BLUECREST CAPITAL MANAGEMENT LLP,CME Group Inc,CME,12/31/05,SH,150000,11025000,0,0,1.1265,,21,999999,,new,FINANCE
BLUECREST CAPITAL MANAGEMENT LLP,CBS Corp. (DE) Class B,CBS,12/31/05,SH,398931,10173000,0,0,1.0394,,22,999999,,new,CONSUMER DISCRETIONARY
BLUECREST CAPITAL MANAGEMENT LLP,Bristol-Myers Squibb,BMY,12/31/05,SH,400000,9192000,0,0,0.9392,,23,999999,,new,HEALTH CARE
BLUECREST CAPITAL MANAGEMENT LLP,"Pfizer, Inc.",PFE,12/31/05,SH,375000,8745000,0,0,0.8935,,24,999999,,new,HEALTH CARE
BLUECREST CAPITAL MANAGEMENT LLP,Quest Software Inc.,QSFT,12/31/05,SH,590000,8608000,0,0,0.8795,,25,999999,,new,INFORMATION TECHNOLOGY
BLUECREST CAPITAL MANAGEMENT LLP,Tenaris SA ADS,TS,12/31/05,SH,333500,7637000,0,0,0.7803,,26,999999,,new,ENERGY
BLUECREST CAPITAL MANAGEMENT LLP,Fomento Economico Mexicano S.A.B. ADS,FMX,12/31/05,SH,238200,5757000,0,0,0.5882,,27,999999,,new,CONSUMER STAPLES
BLUECREST CAPITAL MANAGEMENT LLP,Copa Holdings SA Class A,CPA,12/31/05,SH,200000,5460000,0,0,0.5579,,28,999999,,new,TRANSPORTS
BLUECREST CAPITAL MANAGEMENT LLP,Companhia de Saneamento Basico do Estado de Sao Paulo-SABESP ADS,SBS,12/31/05,SH,780000,2193000,0,0,0.2241,,29,999999,,new,UTILITIES & TELECOMMUNICATIONS
BLUECREST CAPITAL MANAGEMENT LLP,CPFL Energia SA ADS,CPL,12/31/05,SH,184500,2143000,0,0,0.219,,30,999999,,new,UTILITIES & TELECOMMUNICATIONS
BLUECREST CAPITAL MANAGEMENT LLP,Companhia Vale de Rio Doce S.A. ADR,VALE,12/31/05,SH,50000,2057000,0,0,0.2102,,31,999999,,new,MATERIALS
BLUECREST CAPITAL MANAGEMENT LLP,Turkcell Iletisim Hizmetleri AS,TKC,12/31/05,SH,504688,1459000,0,0,0.1491,,32,999999,,new,UTILITIES & TELECOMMUNICATIONS
BLUECREST CAPITAL MANAGEMENT LLP,Telemig Celular SA ADS,TMB,12/31/05,SH,35000,1379000,0,0,0.1409,,33,999999,,new,UTILITIES & TELECOMMUNICATIONS
BLUECREST CAPITAL MANAGEMENT LLP,Cresud S.A.C.I.F. y A. (ADR),CRESY,12/31/05,SH,168321,1232000,0,0,0.1259,,34,999999,,new,CONSUMER STAPLES
BLUECREST CAPITAL MANAGEMENT LLP,Tele Celular Centro Sul SA ADS,TRO,12/31/05,SH,100000,1122000,0,0,0.1146,,35,999999,,new,UTILITIES & TELECOMMUNICATIONS
BLUECREST CAPITAL MANAGEMENT LLP,Aracruz Celulose S.A. ADR,ARA,12/31/05,SH,26500,1060000,0,0,0.1083,,36,999999,,new,MATERIALS
BLUECREST CAPITAL MANAGEMENT LLP,Telecom Argentina S.A.,TEO,12/31/05,SH,80000,1031000,0,0,0.1053,,37,999999,,new,UTILITIES & TELECOMMUNICATIONS
BLUECREST CAPITAL MANAGEMENT LLP,Focus Media Holdings Inc,FMCN,12/31/05,SH,56000,946000,0,0,0.0967,,38,999999,,new,CONSUMER DISCRETIONARY
BLUECREST CAPITAL MANAGEMENT LLP,BanColombia Ads,CIB,12/31/05,SH,32100,931000,0,0,0.0951,,39,999999,,new,FINANCE
BLUECREST CAPITAL MANAGEMENT LLP,Grupo Finan Galicia SA ADS,GGAL,12/31/05,SH,125000,864000,0,0,0.0883,,40,999999,,new,FINANCE
BLUECREST CAPITAL MANAGEMENT LLP,Compania de Minas Buenaventura S.A.,BVN,12/31/05,SH,55000,778000,0,0,0.0795,,41,999999,,new,MATERIALS
BLUECREST CAPITAL MANAGEMENT LLP,Expedia Inc. (New),EXPE,12/31/05,SH,14500,695000,0,0,0.071,,42,999999,,new,CONSUMER DISCRETIONARY
BLUECREST CAPITAL MANAGEMENT LLP,Telefonica Brasil S.A. ADR,VIV,12/31/05,SH,31200,638000,0,0,0.0652,,43,999999,,new,UTILITIES & TELECOMMUNICATIONS
BLUECREST CAPITAL MANAGEMENT LLP,Petrobras Argentina S.A.,PZE,12/31/05,SH,100000,617000,0,0,0.063,,44,999999,,new,ENERGY
BLUECREST CAPITAL MANAGEMENT LLP,Companhia Siderurgica Nacional ADR,SID,12/31/05,SH,53000,567000,0,0,0.0579,,45,999999,,new,MATERIALS
BLUECREST CAPITAL MANAGEMENT LLP,Sohu.com Inc,SOHU,12/31/05,SH,29500,541000,0,0,0.0553,,46,999999,,new,INFORMATION TECHNOLOGY
BLUECREST CAPITAL MANAGEMENT LLP,Banco Bradesco S.A. ADR,BBD,12/31/05,SH,54780,484000,0,0,0.0495,,47,999999,,new,FINANCE
BLUECREST CAPITAL MANAGEMENT LLP,Braskem S.A.,BAK,12/31/05,SH,29000,470000,0,0,0.048,,48,999999,,new,MATERIALS
BLUECREST CAPITAL MANAGEMENT LLP,BBVA Banco Frances S.A.,BFR,12/31/05,SH,30000,214000,0,0,0.0219,,49,999999,,new,FINANCE
BLUECREST CAPITAL MANAGEMENT LLP,"Pfizer, Inc.",PFE,3/31/06,SH,1296400,57226000,375000,8745000,10.8367,0.8935,1,24,245.7067,addition,HEALTH CARE
BLUECREST CAPITAL MANAGEMENT LLP,Quest Software Inc.,QSFT,3/31/06,SH,2161655,36100000,590000,8608000,6.8361,0.8795,2,25,266.3822,addition,INFORMATION TECHNOLOGY
BLUECREST CAPITAL MANAGEMENT LLP,Bristol-Myers Squibb,BMY,3/31/06,SH,1328000,32682000,400000,9192000,6.1889,0.9392,3,23,232,addition,HEALTH CARE
