filer,name,ticker,date,type,current_shares,current_value,previous_shares,previous_value,current_percent
SOROS FUND MANAGEMENT LLC,PowerShares QQQ Trust - Unit Series 1,QQQ,3/31/01,SH,15600000,610740000,0,0,25.6599
SOROS FUND MANAGEMENT LLC,CIT Group Inc. (2009),CIT,3/31/01,SH,3999000,115491000,0,0,4.8523
SOROS FUND MANAGEMENT LLC,VoiceStream Wireless Corp.,VSTR,3/31/01,SH,1154793,106674000,0,0,4.4819
SOROS FUND MANAGEMENT LLC,Transmeta Corp,TMTA,3/31/01,SH,5315760,102328000,0,0,4.2993
SOROS FUND MANAGEMENT LLC,Analog Devices Inc,ADI,3/31/01,PRN,81815000,72099000,0,0,3.0292
SOROS FUND MANAGEMENT LLC,Texaco Inc.,TX,3/31/01,SH,930800,61805000,0,0,2.5967
SOROS FUND MANAGEMENT LLC,MCN Energy Group Inc.,MCN,3/31/01,SH,2167150,55912000,0,0,2.3491
SOROS FUND MANAGEMENT LLC,Alza Corp,AZA.A,3/31/01,SH,1267500,51334000,0,0,2.1568
SOROS FUND MANAGEMENT LLC,Tyco International Ltd. (Bermuda),TYC,3/31/01,PRN,16600000,48804000,0,0,2.0505
SOROS FUND MANAGEMENT LLC,Solectron Corp.,SLR,3/31/01,PRN,88450000,43895000,0,0,1.8442
SOROS FUND MANAGEMENT LLC,Goodrich Corporation,GR,3/31/01,SH,1025900,39364000,0,0,1.6539
SOROS FUND MANAGEMENT LLC,Praecis Pharmaceuticals Inc,PRCS,3/31/01,SH,1942514,38729000,0,0,1.6272
SOROS FUND MANAGEMENT LLC,Juniper Networks Inc,JNPR,3/31/01,PRN,39116000,28261000,0,0,1.1874
SOROS FUND MANAGEMENT LLC,"MGM Resorts International, Inc.",MGM,3/31/01,SH,2199400,27603000,0,0,1.1597
SOROS FUND MANAGEMENT LLC,Apex Silver Mines Ltd,AUMN,3/31/01,SH,3405071,27104000,0,0,1.1388
SOROS FUND MANAGEMENT LLC,Rational Software Corp.,RATL,3/31/01,PRN,30400000,25536000,0,0,1.0729
SOROS FUND MANAGEMENT LLC,Axcan Pharma Inc,AXCA,3/31/01,SH,2500000,23438000,0,0,0.9847
SOROS FUND MANAGEMENT LLC,Nabors Industries Ltd.,NBR,3/31/01,SH,810616,21011000,0,0,0.8828
SOROS FUND MANAGEMENT LLC,Wind River Systems Inc.,WIND,3/31/01,PRN,21040000,20882000,0,0,0.8773
SOROS FUND MANAGEMENT LLC,Rogers Communications Inc. Class B (NYSE),RCI,3/31/01,PRN,56000000,20790000,0,0,0.8735
SOROS FUND MANAGEMENT LLC,Cypress Semiconductor Corp,CY,3/31/01,PRN,26000000,20780000,0,0,0.8731
SOROS FUND MANAGEMENT LLC,Microtune Inc,TUNE,3/31/01,SH,2644660,20661000,0,0,0.8681
