GOOG/NASDAQ_AAPL,Apple Inc. (AAPL),12/12/80,12/5/14,daily,12/8/14
GOOG/NASDAQ_FB,Facebook Inc (FB),5/17/12,12/5/14,daily,12/8/14
GOOG/NASDAQ_TSLA,Tesla Motors Inc (TSLA),6/29/10,12/5/14,daily,12/8/14
GOOG/NASDAQ_MSFT,Microsoft Corporation (MSFT),3/13/86,12/5/14,daily,12/8/14
GOOG/PINK_MTCH,Matech Corp. (MTCH),11/9/06,1/6/14,daily,4/6/14
GOOG/NASDAQ_ZIGO,Zygo Corporation (ZIGO),12/13/83,6/19/14,daily,9/17/14
GOOG/PINK_GORXQ,"GeoPharma, Inc. (GORXQ)",1/2/03,12/18/13,daily,3/18/14
GOOG/PINK_IPUR,"Innova Pure Water, Inc. (IPUR)",1/2/03,12/4/13,daily,3/4/14
GOOG/PINK_SNDTF,Sand Technology Inc. ( USA ) (SNDTF),1/2/03,11/15/13,daily,2/13/14
GOOG/PINK_CBTEQ,"Commonwealth Biotechnologies, Inc. (CBTEQ)",1/2/03,9/26/13,daily,9/11/13
GOOG/PINK_BYCX,"Bayou City Exploration, Inc. (BYCX)",6/22/05,3/10/14,daily,6/8/14
GOOG/PINK_GNTAQ,Genta Incorporated (GNTAQ),3/15/13,8/29/13,daily,11/27/13
GOOG/PINK_MIVI,MIV Therapeutics Inc. (MIVI),1/2/03,12/18/13,daily,3/18/14
GOOG/NASDAQ_XTXI,Crosstex Energy Inc (XTXI),1/13/04,3/7/14,daily,6/5/14
GOOG/NASDAQ_TWTC,TW Telecom Inc (TWTC),5/12/99,10/31/14,daily,12/8/14
GOOG/NASDAQ_ARBA,"Ariba, Inc. (ARBA)",6/23/99,10/1/12,daily,12/10/13
GOOG/NASDAQ_ALTH,"Allos Therapeutics, Inc. (ALTH)",3/28/00,9/5/12,daily,12/10/13
GOOG/NASDAQ_NFSB,"Newport Bancorp, Inc. (NFSB)",7/7/06,9/6/13,daily,12/10/13
GOOG/PINK_BUTLQ,"Butler International, Inc (BUTLQ)",1/2/03,10/23/13,daily,1/21/14
GOOG/PINK_WTRO,"Wi-Tron, Inc. (WTRO)",5/21/09,9/6/13,daily,12/5/13
GOOG/NASDAQ_PURE,PURE Bioscience (PURE),8/8/96,5/16/13,daily,10/15/13
GOOG/NASDAQ_BMTI,"BioMimetic Therapeutics, Inc. (BMTI)",5/12/06,2/28/13,daily,12/10/13
GOOG/NASDAQ_MPAC,MOD-PAC CORP. (MPAC),3/14/03,9/30/13,daily,12/27/13
GOOG/NASDAQ_MOLX,Molex Incorporated (MOLX),3/11/81,12/6/13,daily,3/6/14
GOOG/NYSE_MUSA,Murphy USA Inc (MUSA),4/9/10,4/12/13,daily,12/10/13
GOOG/NASDAQ_ANLY,Analysts International Corporation (ANLY),3/11/81,10/11/13,daily,1/9/14
GOOG/PINK_PSBG,PSB Group Inc (PSBG),6/3/03,3/13/14,daily,6/11/14
GOOG/PINK_YTBLA,Ytb Intl Inc Cl A (YTBLA),8/1/07,7/7/14,daily,10/5/14
GOOG/NASDAQ_CPTS,"Conceptus, Inc. (CPTS)",2/1/96,6/5/13,daily,12/10/13
GOOG/NYSE_BRY,Berry Petroleum Company (BRY),7/1/87,12/16/13,daily,3/16/14
GOOG/PINK_OLOU,Omnialuo Inc. (OLOU),1/10/08,11/26/12,daily,8/27/13
GOOG/PINK_FTBK,Frontier Financial Corporation (FTBK),1/2/03,1/28/14,daily,4/28/14
GOOG/PINK_CASA,"Mexican Restaurants, Inc. (CASA)",1/2/03,5/6/14,daily,8/5/14
GOOG/PINK_CHBT,China-Biotics Inc. (CHBT),4/6/06,11/1/13,daily,1/30/14
GOOG/NASDAQ_DLGC,Dialogic Inc (DLGC),4/5/07,4/16/13,daily,10/15/13
GOOG/NASDAQ_FMFC,First M &amp; F Corporation (FMFC),9/12/96,8/30/13,daily,12/10/13
GOOG/NASDAQ_FCFC,FirstCity Financial Corporation (FCFC),11/3/95,5/17/13,daily,12/10/13
GOOG/NASDAQ_CBEY,"Cbeyond, Inc. (CBEY)",11/2/05,7/18/14,daily,10/16/14
GOOG/NYSE_NGT,Eastern American Natural Gas Trust (NGT),3/9/93,5/24/13,daily,12/10/13
GOOG/PINK_ENBP,ENB Financial Corp. (ENBP),1/5/99,3/4/13,daily,8/27/13
GOOG/NASDAQ_ATMI,ATMI Inc (ATMI),11/23/93,4/29/14,daily,7/28/14
GOOG/NASDAQ_MCBI,"MetroCorp Bancshares, Inc. (MCBI)",12/16/98,1/17/14,daily,4/17/14
GOOG/PINK_GWIR,Gate To Wire Solutns (GWIR),7/22/10,10/22/12,daily,8/27/13
GOOG/NASDAQ_NINE,Ninetowns Internet Technlgy Grp Co Ltd. (NINE),12/3/04,5/29/14,daily,8/27/14
GOOG/NASDAQ_KSWS,K Swiss Inc (KSWS),6/5/90,4/30/13,daily,12/10/13
GOOG/NASDAQ_TWGP,"Tower Group International, Ltd. (TWGP)",3/14/13,9/12/14,daily,12/7/14
GOOG/PINK_SWRF,SWORDFISH FINANCIAL (SWRF),1/3/11,7/13/11,daily,8/27/13
GOOG/PINK_PLKH,ProLink Holdings Corp. (PLKH),1/26/06,9/17/13,daily,12/13/13
GOOG/PINK_AMIEQ,AMBASSADORS INTL INC (AMIEQ),1/2/03,10/24/14,daily,12/7/14
GOOG/PINK_NDAC,New Dragon Asia Corp. (NDAC),6/8/11,10/31/14,daily,12/8/14
GOOG/NASDAQ_BMC,"BMC Software, Inc. (BMC)",10/26/09,9/10/13,daily,12/10/13
GOOG/PINK_BVTI,Biovest Intl Inc (BVTI),8/15/05,7/9/13,daily,10/7/13
GOOG/PINK_FPBI,"FPB Bancorp, Inc. (FPBI)",7/21/05,7/7/14,daily,10/5/14
GOOG/PINK_VLYF,"Valley Forge Composite Technologies, Inc (VLYF)",7/20/07,6/12/14,daily,9/10/14
GOOG/NASDAQ_KYAK,Kayak Software Corp (KYAK),7/20/12,5/20/13,daily,12/10/13
GOOG/PINK_SPLT,"SpatiaLight, Inc. (SPLT)",8/24/07,7/1/14,daily,9/29/14
GOOG/AMEX_SIHI,Sinohub Inc (SIHI),6/11/12,7/1/13,monthly,1/8/14
GOOG/NYSE_HTSI,Harris Teeter Supermarkets Inc (HTSI),1/2/03,1/28/14,daily,4/28/14
GOOG/PINK_AORE,American Overseas Group Ltd (AORE),12/16/11,12/16/11,daily,8/27/13
GOOG/PINK_ENSL,Entech Solar Inc (ENSL),1/2/03,10/21/14,daily,12/8/14
GOOG/NYSE_SVN,7 DAYS GROUP HOLDINGS LIMITED(ADR) (SVN),11/20/09,7/5/13,daily,12/10/13
GOOG/NYSE_EPL,EPL Oil &amp; Gas Inc (EPL),11/2/00,6/3/14,daily,9/1/14
GOOG/NYSE_BNNY,Annies Inc (BNNY),3/28/12,10/20/14,daily,12/8/14
GOOG/NASDAQ_HITK,Hi-Tech Pharmacal Co. (HITK),8/3/92,4/16/14,daily,7/15/14
GOOG/PINK_FLIP,"FTS Group, Inc. (FLIP)",1/2/03,5/21/13,daily,8/27/13
GOOG/NYSE_PSE,Pioneer Southwest Energy Partners L.P. (PSE),5/1/08,12/17/13,daily,3/16/14
GOOG/NASDAQ_CRTX,"Cornerstone Therapeutics, Inc. (CRTX)",5/27/04,2/3/14,daily,5/4/14
GOOG/NASDAQ_TSTC,Telestone Technologies Corporation (TSTC),7/25/02,4/16/13,daily,10/16/13
GOOG/PINK_FFEDQ,Firstfed Fin Cp (FFEDQ),1/2/03,12/28/12,daily,8/27/13
GOOG/NASDAQ_OPTR,"Optimer Pharmaceuticals, Inc. (OPTR)",2/9/07,10/23/13,daily,1/21/14
GOOG/NYSE_SHAW,Shaw Group Inc. (SHAW),1/2/03,2/12/13,daily,8/27/13
GOOG/PINK_ARTD,"ARTISTdirect, Inc. (ARTD)",5/8/03,1/28/14,daily,4/28/14
GOOG/NYSE_WRC,Warnaco Group Inc (WRC),2/5/03,2/13/13,daily,8/27/13
GOOG/NASDAQ_LCAV,LCA-Vision Inc. (LCAV),1/25/96,5/12/14,daily,8/10/14
GOOG/PINK_BMTL,BioMedical Technology Solutns Hldgs Inc. (BMTL),1/2/03,8/6/14,daily,11/4/14
GOOG/NASDAQ_HLYS,"Heelys, Inc. (HLYS)",12/8/06,1/24/13,daily,12/10/13
GOOG/NASDAQ_SUSS,Susser Holdings Corp. (SUSS),10/19/06,8/28/14,daily,11/26/14
GOOG/PINK_ESWW,Environmental Solutions Worldwide Inc. (ESWW),1/2/03,1/22/14,daily,4/22/14
GOOG/PINK_ABCW,Anchor BanCorp Wisconsin Inc. (ABCW),1/2/03,9/27/13,daily,12/29/13
GOOG/PINK_VULC,Vulcan International Corporation (VULC),1/4/99,11/5/14,daily,12/8/14
GOOG/NASDAQ_PNSN,Penson Worldwide (PNSN),6/11/12,8/16/13,weekly,1/8/14
GOOG/NASDAQ_ARTC,ArthroCare Corporation (ARTC),2/5/96,5/29/14,daily,8/27/14
GOOG/PINK_IFSG,"Infosmart Group, Inc. (IFSG)",10/18/06,7/9/14,daily,10/7/14
