date,gdp
1/1/47,1934.471
4/1/47,1932.281
7/1/47,1930.315
10/1/47,1960.705
1/1/48,1989.535
4/1/48,2021.851
7/1/48,2033.155
10/1/48,2035.329
1/1/49,2007.522
4/1/49,2000.788
7/1/49,2022.798
10/1/49,2004.653
1/1/50,2084.559
4/1/50,2147.592
7/1/50,2230.362
10/1/50,2273.435
1/1/51,2304.542
4/1/51,2344.517
7/1/51,2392.808
10/1/51,2398.105
1/1/52,2423.457
4/1/52,2428.516
7/1/52,2446.081
10/1/52,2526.359
1/1/53,2573.372
4/1/53,2593.456
7/1/53,2578.922
10/1/53,2539.786
1/1/54,2528.043
4/1/54,2530.689
7/1/54,2559.397
10/1/54,2609.272
1/1/55,2683.766
4/1/55,2727.452
7/1/55,2764.128
10/1/55,2780.762
1/1/56,2770.032
4/1/56,2792.872
7/1/56,2790.588
10/1/56,2836.238
1/1/57,2854.517
4/1/57,2848.186
7/1/57,2875.927
10/1/57,2846.446
1/1/58,2772.654
4/1/58,2790.948
7/1/58,2855.472
10/1/58,2922.264
1/1/59,2976.629
4/1/59,3049.011
7/1/59,3043.139
10/1/59,3055.104
1/1/60,3123.162
4/1/60,3111.31
7/1/60,3119.057
10/1/60,3081.3
1/1/61,3102.251
4/1/61,3159.918
7/1/61,3212.606
10/1/61,3277.717
1/1/62,3336.753
4/1/62,3372.706
7/1/62,3404.833
10/1/62,3418.046
1/1/63,3456.08
4/1/63,3501.134
7/1/63,3569.479
10/1/63,3594.954
1/1/64,3672.708
4/1/64,3716.382
7/1/64,3766.862
10/1/64,3780.219
1/1/65,3873.452
4/1/65,3926.406
7/1/65,4006.152
10/1/65,4100.631
1/1/66,4201.891
4/1/66,4219.097
7/1/66,4249.152
10/1/66,4285.582
1/1/67,4324.926
4/1/67,4328.72
7/1/67,4366.088
10/1/67,4401.233
1/1/68,4490.609
4/1/68,4566.442
7/1/68,4599.332
10/1/68,4619.803
1/1/69,4691.637
4/1/69,4706.684
7/1/69,4736.143
10/1/69,4715.469
1/1/70,4707.112
4/1/70,4715.441
7/1/70,4757.213
10/1/70,4708.281
1/1/71,4834.349
4/1/71,4861.938
7/1/71,4899.95
10/1/71,4914.261
1/1/72,5002.436
4/1/72,5118.278
7/1/72,5165.448
10/1/72,5251.226
1/1/73,5380.502
4/1/73,5441.504
7/1/73,5411.935
10/1/73,5462.397
1/1/74,5417.024
4/1/74,5431.265
7/1/74,5378.679
10/1/74,5357.166
1/1/75,5292.444
4/1/75,5333.22
7/1/75,5421.357
10/1/75,5494.446
1/1/76,5618.52
4/1/76,5660.972
7/1/76,5689.756
10/1/76,5732.462
1/1/77,5799.16
4/1/77,5912.977
7/1/77,6017.586
10/1/77,6018.218
1/1/78,6039.158
4/1/78,6273.963
7/1/78,6335.317
10/1/78,6420.288
1/1/79,6433.044
4/1/79,6440.832
7/1/79,6487.08
10/1/79,6503.874
1/1/80,6524.912
4/1/80,6392.578
7/1/80,6382.892
10/1/80,6501.184
1/1/81,6635.726
4/1/81,6587.269
7/1/81,6662.858
10/1/81,6585.127
1/1/82,6474.973
4/1/82,6510.247
7/1/82,6486.8
10/1/82,6493.128
1/1/83,6578.175
4/1/83,6728.287
7/1/83,6860.022
10/1/83,7001.489
1/1/84,7140.597
4/1/84,7266.01
7/1/84,7337.493
10/1/84,7396.019
1/1/85,7469.545
4/1/85,7537.928
7/1/85,7655.196
10/1/85,7712.624
1/1/86,7784.109
4/1/86,7819.843
7/1/86,7898.555
10/1/86,7939.45
1/1/87,7994.965
4/1/87,8084.71
7/1/87,8158.035
10/1/87,8292.687
1/1/88,8339.324
4/1/88,8449.51
7/1/88,8498.282
10/1/88,8610.85
1/1/89,8697.711
4/1/89,8766.105
7/1/89,8831.544
10/1/89,8850.23
1/1/90,8947.129
4/1/90,8981.727
7/1/90,8983.945
10/1/90,8907.363
1/1/91,8865.564
4/1/91,8934.366
7/1/91,8977.252
10/1/91,9016.444
1/1/92,9122.95
4/1/92,9223.545
7/1/92,9313.208
10/1/92,9406.528
1/1/93,9424.065
4/1/93,9480.106
7/1/93,9526.337
10/1/93,9653.509
1/1/94,9748.156
4/1/94,9881.384
7/1/94,9939.655
10/1/94,10052.518
1/1/95,10086.878
4/1/95,10122.122
7/1/95,10208.772
10/1/95,10281.246
1/1/96,10348.691
4/1/96,10529.379
7/1/96,10626.778
10/1/96,10739.057
1/1/97,10820.908
4/1/97,10984.15
7/1/97,11124.013
10/1/97,11210.329
1/1/98,11321.246
4/1/98,11431.046
7/1/98,11580.587
10/1/98,11770.686
1/1/99,11864.675
4/1/99,11962.524
7/1/99,12113.075
10/1/99,12323.336
1/1/00,12359.095
4/1/00,12592.53
7/1/00,12607.676
10/1/00,12679.338
1/1/01,12643.283
4/1/01,12710.303
7/1/01,12670.106
10/1/01,12705.269
1/1/02,12822.258
4/1/02,12893.002
7/1/02,12955.769
10/1/02,12964.016
1/1/03,13031.169
4/1/03,13152.089
7/1/03,13372.357
10/1/03,13528.71
1/1/04,13606.509
4/1/04,13706.247
7/1/04,13830.828
10/1/04,13950.376
1/1/05,14099.081
4/1/05,14172.695
7/1/05,14291.757
10/1/05,14373.438
1/1/06,14546.119
4/1/06,14589.585
7/1/06,14602.633
10/1/06,14716.93
1/1/07,14726.022
4/1/07,14838.664
7/1/07,14938.467
10/1/07,14991.784
1/1/08,14889.45
4/1/08,14963.357
7/1/08,14891.643
10/1/08,14576.985
1/1/09,14375.018
4/1/09,14355.558
7/1/09,14402.477
10/1/09,14541.901
1/1/10,14604.845
4/1/10,14745.933
7/1/10,14845.458
10/1/10,14939.001
1/1/11,14881.301
4/1/11,14989.555
7/1/11,15021.149
10/1/11,15190.255
1/1/12,15275.047
4/1/12,15336.735
7/1/12,15431.335
10/1/12,15433.702
1/1/13,15538.441
4/1/13,15606.591
7/1/13,15779.938
10/1/13,15916.208
1/1/14,15831.652
4/1/14,16010.405
7/1/14,16150.614
