Date,HFR_Total,HFR_Active_Trading,HFR_Commodity,HFR_Discretionary_Thematic,HFR_Multi-Strategy,HFR_Systematic_Diversified,HFR_Weighted_Composite
12-1999,6.82,,,,,5.09,7.65
01-2000,1.14,,,,,1.55,0.64
02-2000,3.67,,,,,5.96,6.16
03-2000,-2.27,,,,,2.09,0.93
04-2000,-3.68,,,,,-2.67,-2.85
05-2000,-1.54,,,,,1.47,-1.96
06-2000,1.24,,,,,1.53,3.68
07-2000,0.05,,,,,-1.25,-0.6
08-2000,1.73,,,,,3.38,3.81
09-2000,-2.19,,,,,-2.19,-1.24
10-2000,-0.73,,,,,0.38,-1.79
11-2000,0.25,,,,,-1.94,-3.49
12-2000,4.61,,,,,3.26,2.07
01-2001,2.15,,,,,0.33,3.39
02-2001,-1.71,,,,,-3.28,-2.21
03-2001,0.83,,,,,-2.04,-1.59
04-2001,-0.12,,,,,3.8,1.95
05-2001,-0.1,,,,,1.06,1.19
06-2001,0.43,,,,,0.71,0.29
07-2001,-0.3,,,,,-1.43,-0.83
08-2001,0.57,,,,,-1.41,-0.41
09-2001,0.63,,,,,-1.08,-2.83
10-2001,2.71,,,,,2.91,2.01
11-2001,0.14,,,,,2.61,2.07
12-2001,1.51,,,,,2.11,1.71
01-2002,0.4113,,,,,-1.3252,0.45
02-2002,-1.2079,,,,,0.2936,-0.7
03-2002,2.1118,,,,,1.8582,1.91
04-2002,0.39,,,,,-1.5153,0.28
05-2002,1.8738,,,,,-0.8702,0.04
06-2002,1.2017,,,,,-1.376,-1.94
07-2002,-0.3386,,,,,-1.2347,-2.86
08-2002,0.6292,,,,,0.8956,0.53
09-2002,0.9319,,,,,-0.2159,-1.54
10-2002,-1.6451,,,,,0.6938,0.59
11-2002,-0.4635,,,,,2.025,2.12
12-2002,3.414,,,,,-2.419,-0.21
01-2003,2.52,,,,,-0.845,0.65
02-2003,1.91,,,,,-0.283,0.02
03-2003,-2.231,,,,,-0.064,0.14
04-2003,1.227,,,,,2.711,2.64
05-2003,5.665,,,,,3.408,3.58
06-2003,0.531,,,,,1.617,1.35
07-2003,0.726,,,,,0.387,1.3
08-2003,1.856,,,,,2.119,1.83
09-2003,2.258,,,,,0.002,1.16
10-2003,1.729,,,,,2.745,2.45
11-2003,0.193,,,,,0.684,1.06
12-2003,3.382,,,,,1.996,1.87
01-2004,0.646,,,,,0.952,1.98
02-2004,1.999,,,,,0.382,1.19
03-2004,1.123,,,,,0.146,0.51
04-2004,-2.84,,,,,-2.143,-1.48
05-2004,-0.695,,,,,0.607,-0.31
06-2004,-0.11,,,,,0.527,0.75
07-2004,-0.329,,,,,-2.733,-0.96
08-2004,-0.233,,,,,-0.496,0.12
09-2004,0.835,,,,,1.925,1.65
10-2004,0.838,,,,,1.488,0.84
11-2004,2.805,,,,,3.456,2.84
12-2004,0.606,,,,,2.3,1.65
01-2005,-0.576,,,,,-0.667,-0.21
02-2005,1.806,,,,,3.361,1.83
03-2005,-0.601,,,,,-1.342,-0.87
04-2005,-1.061,,,,,-1.737,-1.5
05-2005,0.345,,,,,1.711,1.04
06-2005,1.055,,,,,1.509,1.59
07-2005,0.741,,,,,3.232,2.3
08-2005,0.725,,,,,1.816,0.82
09-2005,2.108,,,,,2.64,1.93
10-2005,-0.634,,,,,-2.212,-1.41
11-2005,1.462,,,,,3.546,1.66
12-2005,1.275,,,,,1.908,1.82
01-2006,2.401,,,,,6.057,3.49
02-2006,-0.472,,,,,-0.142,0.45
03-2006,1.147,,,,,2.438,1.95
04-2006,2.764,,,,,2.259,1.87
05-2006,-1.364,,,,,-3.671,-1.56
06-2006,-0.484,,,,,-0.113,-0.24
07-2006,-0.26,,,,,-0.449,-0.18
08-2006,0.232,,,,,0.937,1.01
09-2006,-0.76,,,,,0.103,0.18
10-2006,1.137,,,,,2.988,1.77
11-2006,2.357,,,,,3.311,2.07
12-2006,1.27,,,,,2.276,1.48
01-2007,0.3718,,,,,0.4494,1.1
02-2007,0.2234,,,,,-0.8199,0.68
03-2007,-0.0897,,,,,0.0974,0.96
04-2007,1.6273,,,,,3.0157,1.77
05-2007,1.8107,,,,,2.4331,1.99
06-2007,1.5065,,,,,-0.2449,0.73
07-2007,0.7931,,,,,-1.4112,0.08
08-2007,-2.1109,,,,,-2.5484,-1.53
09-2007,3.2292,,,,,6.2029,2.69
10-2007,3.2576,,,,,6.4264,2.85
11-2007,-0.8924,,,,,-4.41,-2.2
12-2007,0.9846,,,,,1.2659,0.53
01-2008,1.0826,,1.4768,-0.2544,-0.7869,2.7927,-2.69
02-2008,4.2192,,7.4976,1.4169,4.2941,6.4902,1.5
03-2008,-1.2212,,-2.7177,-2.203,-1.5916,-0.7703,-2.24
04-2008,-0.0328,,-0.1751,1.7501,0.4072,-1.0832,1.63
05-2008,1.2046,,1.5464,0.9278,0.6667,1.7387,1.87
06-2008,1.1923,,2.1759,-0.8721,0.6776,2.2986,-1.33
07-2008,-2.6237,,-3.6083,-2.0024,-2.3379,-3.6888,-2.29
08-2008,-1.1787,,-2.0168,-1.5268,-0.9312,-0.7215,-1.44
09-2008,-1.2144,,-0.6873,-3.474,-3.3236,0.436,-6.13
10-2008,1.6317,,1.4316,-4.5054,-2.8719,5.8931,-6.84
11-2008,0.7328,,0.7204,-2.3919,1.2064,1.9465,-2.67
12-2008,1.1128,,1.0357,0.5819,0.2337,1.8365,0.15
01-2009,-0.0995,1.4206,-0.1715,0.5261,-0.5435,-0.4676,-0.09
02-2009,-0.1225,1.2336,-0.4755,-0.3869,0.1755,-0.1987,-1.21
03-2009,-0.6146,0.8455,-0.4019,1.4098,0.2246,-2.0565,1.66
04-2009,-0.0892,1.0953,-0.3843,1.8184,1.7675,-1.3006,3.6
05-2009,3.5352,2.91,5.543,5.0734,3.957,2.7099,5.15
06-2009,-1.169,-0.6491,-1.0796,-1.2778,-0.5543,-1.594,0.25
07-2009,0.4919,-1.6145,-0.0401,2.6347,1.1274,-0.0859,2.5
08-2009,0.3747,0.1329,0.1655,-0.2222,0.4422,0.9241,1.3
09-2009,1.7089,0.7205,1.4818,2.3861,1.87,1.7108,2.79
10-2009,-0.5156,0.849,-0.0795,0.0038,0.3038,-1.6392,-0.2
11-2009,2.17,-2.2667,3.2075,1.8145,1.0517,3.4193,1.52
12-2009,-1.3023,-1.6392,0.2144,-0.0039,0.076,-2.8997,1.28
01-2010,-1.9531,-0.4625,-3.4162,-0.8796,-0.599,-3.0136,-0.76
02-2010,0.1597,-0.0319,-0.7067,0.0028,-0.4649,0.5507,0.66
03-2010,1.5902,-0.5463,1.5799,1.6942,1.2667,2.2408,2.49
04-2010,0.8176,0.7022,1.5446,0.2587,0.6508,0.7,1.19
05-2010,-1.5831,0.4451,-2.5833,-2.2908,-2.5623,-1.5877,-2.89
06-2010,-0.1159,0.0293,-0.3528,-0.4579,0.5805,-0.0265,-0.95
07-2010,-0.0623,-0.0902,0.1208,0.274,0.8351,-0.6084,1.61
08-2010,1.6891,1.4344,1.4074,0.4997,1.1833,3.0806,-0.13
09-2010,2.7353,0.537,3.5921,2.9062,2.7232,2.9602,3.48
10-2010,2.2308,0.1698,3.7142,1.2695,1.2205,3.3204,2.14
11-2010,-0.9163,-0.7382,1.3276,0.0317,-0.7067,-2.6345,0.19
