index,date,open,high,low,close,volume,adj_close
^GSPC,20000103,1469.25,1478,1438.36,1455.22,931800000,1455.22
^GSPC,20000104,1455.22,1455.22,1397.43,1399.42,1009000000,1399.42
^GSPC,20000105,1399.42,1413.27,1377.68,1402.11,1085500000,1402.11
^GSPC,20000106,1402.11,1411.9,1392.1,1403.45,1092300000,1403.45
^GSPC,20000107,1403.45,1441.47,1400.73,1441.47,1225200000,1441.47
^GSPC,20000110,1441.47,1464.36,1441.47,1457.6,1064800000,1457.6
^GSPC,20000111,1457.6,1458.66,1434.42,1438.56,1014000000,1438.56
^GSPC,20000112,1438.56,1442.6,1427.08,1432.25,974600000,1432.25
^GSPC,20000113,1432.25,1454.2,1432.25,1449.68,1030400000,1449.68
^GSPC,20000114,1449.68,1473,1449.68,1465.15,1085900000,1465.15
^GSPC,20000118,1465.15,1465.15,1451.3,1455.14,1056700000,1455.14
^GSPC,20000119,1455.14,1461.39,1448.68,1455.9,1087800000,1455.9
^GSPC,20000120,1455.9,1465.71,1438.54,1445.57,1100700000,1445.57
^GSPC,20000121,1445.57,1453.18,1439.6,1441.36,1209800000,1441.36
^GSPC,20000124,1441.36,1454.09,1395.42,1401.53,1115800000,1401.53
^GSPC,20000125,1401.53,1414.26,1388.49,1410.03,1073700000,1410.03
^GSPC,20000126,1410.03,1412.73,1400.16,1404.09,1117300000,1404.09
^GSPC,20000127,1404.09,1418.86,1370.99,1398.56,1129500000,1398.56
^GSPC,20000128,1398.56,1398.56,1356.2,1360.16,1095800000,1360.16
^GSPC,20000131,1360.16,1394.48,1350.14,1394.46,993800000,1394.46
^GSPC,20000201,1394.46,1412.49,1384.79,1409.28,981000000,1409.28
^GSPC,20000202,1409.28,1420.61,1403.49,1409.12,1038600000,1409.12
^GSPC,20000203,1409.12,1425.78,1398.52,1424.97,1146500000,1424.97
^GSPC,20000204,1424.97,1435.91,1420.63,1424.37,1045100000,1424.37
^GSPC,20000207,1424.37,1427.15,1413.33,1424.24,918100000,1424.24
^GSPC,20000208,1424.24,1441.83,1424.24,1441.72,1047700000,1441.72
^GSPC,20000209,1441.72,1444.55,1411.65,1411.71,1050500000,1411.71
^GSPC,20000210,1411.7,1422.1,1406.43,1416.83,1058800000,1416.83
^GSPC,20000211,1416.83,1416.83,1378.89,1387.12,1025700000,1387.12
^GSPC,20000214,1387.12,1394.93,1380.53,1389.94,927300000,1389.94
^GSPC,20000215,1389.94,1407.72,1376.25,1402.05,1092100000,1402.05
^GSPC,20000216,1402.05,1404.55,1385.58,1387.67,1018800000,1387.67
^GSPC,20000217,1387.67,1399.88,1380.07,1388.26,1034800000,1388.26
^GSPC,20000218,1388.26,1388.59,1345.32,1346.09,1042300000,1346.09
^GSPC,20000222,1346.09,1358.11,1331.88,1352.17,980000000,1352.17
^GSPC,20000223,1352.17,1370.11,1342.44,1360.69,993700000,1360.69
^GSPC,20000224,1360.69,1364.8,1329.88,1353.43,1215000000,1353.43
^GSPC,20000225,1353.43,1362.14,1329.15,1333.36,1065200000,1333.36
^GSPC,20000228,1333.36,1360.82,1325.07,1348.05,1026500000,1348.05
^GSPC,20000229,1348.05,1369.63,1348.05,1366.42,1204300000,1366.42
^GSPC,20000301,1366.42,1383.46,1366.42,1379.19,1274100000,1379.19
^GSPC,20000302,1379.19,1386.56,1370.35,1381.76,1198600000,1381.76
^GSPC,20000303,1381.76,1410.88,1381.76,1409.17,1150300000,1409.17
^GSPC,20000306,1409.17,1409.74,1384.75,1391.28,1029000000,1391.28
^GSPC,20000307,1391.28,1399.21,1349.99,1355.62,1314100000,1355.62
^GSPC,20000308,1355.62,1373.79,1346.62,1366.7,1203000000,1366.7
^GSPC,20000309,1366.7,1401.82,1357.88,1401.69,1123000000,1401.69
^GSPC,20000310,1401.69,1413.46,1392.07,1395.07,1138800000,1395.07
^GSPC,20000313,1395.07,1398.39,1364.84,1383.62,1016100000,1383.62
^GSPC,20000314,1383.62,1395.15,1359.15,1359.15,1094000000,1359.15
^GSPC,20000315,1359.15,1397.99,1356.99,1392.14,1302800000,1392.14
^GSPC,20000316,1392.15,1458.47,1392.15,1458.47,1482300000,1458.47
^GSPC,20000317,1458.47,1477.33,1453.32,1464.47,1295100000,1464.47
^GSPC,20000320,1464.47,1470.3,1448.49,1456.63,920800000,1456.63
^GSPC,20000321,1456.63,1493.92,1446.06,1493.87,1065900000,1493.87
^GSPC,20000322,1493.87,1505.08,1487.33,1500.64,1075000000,1500.64
^GSPC,20000323,1500.64,1532.5,1492.39,1527.35,1078300000,1527.35
^GSPC,20000324,1527.35,1552.87,1516.83,1527.46,1052200000,1527.46
^GSPC,20000327,1527.46,1534.63,1518.46,1523.86,901000000,1523.86
^GSPC,20000328,1523.86,1527.36,1507.09,1507.73,959100000,1507.73
^GSPC,20000329,1507.73,1521.45,1497.45,1508.52,1061900000,1508.52
^GSPC,20000330,1508.52,1517.38,1474.63,1487.92,1193400000,1487.92
^GSPC,20000331,1487.92,1519.81,1484.38,1498.58,1227400000,1498.58
^GSPC,20000403,1498.58,1507.19,1486.96,1505.97,1021700000,1505.97
^GSPC,20000404,1505.98,1526.45,1416.41,1494.73,1515460000,1494.73
^GSPC,20000405,1494.73,1506.55,1478.05,1487.37,1110300000,1487.37
^GSPC,20000406,1487.37,1511.76,1487.37,1501.34,1008000000,1501.34
^GSPC,20000407,1501.34,1518.68,1501.34,1516.35,891600000,1516.35
^GSPC,20000410,1516.35,1527.19,1503.35,1504.46,853700000,1504.46
^GSPC,20000411,1504.46,1512.8,1486.78,1500.59,971400000,1500.59
^GSPC,20000412,1500.59,1509.08,1466.15,1467.17,1175900000,1467.17
^GSPC,20000413,1467.17,1477.52,1439.34,1440.51,1032000000,1440.51
^GSPC,20000414,1440.51,1440.51,1339.4,1356.56,1279700000,1356.56
^GSPC,20000417,1356.56,1401.53,1346.5,1401.44,1204700000,1401.44
^GSPC,20000418,1401.44,1441.61,1397.81,1441.61,1109400000,1441.61
^GSPC,20000419,1441.61,1447.69,1424.26,1427.47,1001400000,1427.47
^GSPC,20000420,1427.47,1435.49,1422.08,1434.54,896200000,1434.54
^GSPC,20000424,1434.54,1434.54,1407.13,1429.86,868700000,1429.86
^GSPC,20000425,1429.86,1477.67,1429.86,1477.44,1071100000,1477.44
^GSPC,20000426,1477.44,1482.94,1456.98,1460.99,999600000,1460.99
^GSPC,20000427,1460.99,1469.21,1434.81,1464.92,1111000000,1464.92
^GSPC,20000428,1464.92,1473.62,1448.15,1452.43,984600000,1452.43
^GSPC,20000501,1452.43,1481.51,1452.43,1468.25,966300000,1468.25
^GSPC,20000502,1468.25,1468.25,1445.22,1446.29,1011500000,1446.29
^GSPC,20000503,1446.29,1446.29,1398.36,1415.1,991600000,1415.1
^GSPC,20000504,1415.1,1420.99,1404.94,1409.57,925800000,1409.57
^GSPC,20000505,1409.57,1436.03,1405.08,1432.63,805500000,1432.63
^GSPC,20000508,1432.63,1432.63,1417.05,1424.17,787600000,1424.17
^GSPC,20000509,1424.17,1430.28,1401.85,1412.14,896600000,1412.14
^GSPC,20000510,1412.14,1412.14,1375.14,1383.05,1006400000,1383.05
^GSPC,20000511,1383.05,1410.26,1383.05,1407.81,953600000,1407.81
^GSPC,20000512,1407.81,1430.13,1407.81,1420.96,858200000,1420.96
^GSPC,20000515,1420.96,1452.39,1416.54,1452.36,854600000,1452.36
