Effective date ,S&P 500 Consumer Staples (Sector) (TR),S&P 500 Consumer Staples (Sector),S&P 500 Information Technology (Sector) (TR),S&P 500 Information Technology (Sector)
12/10/08,286.16,234.3,335.68,325.48
12/11/08,286.06,234.22,339.13,328.76
12/14/08,287.42,235.32,340.42,330.01
12/15/08,289.73,237.2,340.58,330.17
12/16/08,289.53,236.93,338.62,328.26
12/17/08,289.02,236.51,334.96,324.71
12/18/08,286.24,234.24,334.42,324.19
12/21/08,286.51,234.46,338.47,328.11
12/22/08,288.59,236.14,339.47,329.08
12/23/08,289.91,236.92,339.76,329.36
12/24/08,289.03,236.2,338.03,327.69
12/28/08,288.93,236.12,339.58,329.19
12/29/08,291.06,237.86,339.75,329.36
12/30/08,290.54,237.43,339.96,329.55
12/31/08,290.68,237.53,339.95,329.55
1/1/09,290.02,236.99,337.15,326.83
1/4/09,289.52,236.59,330.51,320.39
1/5/09,287.83,235.21,328.92,318.85
1/6/09,287.63,235.02,328.11,318.07
1/7/09,289.23,236.3,328.88,318.82
1/8/09,290.64,237.46,329.59,319.5
1/11/09,292.55,239.01,326,316.02
1/12/09,291.24,237.93,327.91,317.87
1/13/09,292.2,238.71,324.57,314.64
1/14/09,290.25,237.11,326.33,316.34
1/15/09,292.07,238.6,329.28,319.2
1/19/09,295.18,241.14,322.62,312.75
1/20/09,294.71,240.63,319.86,310.07
1/21/09,293.89,239.95,317.2,307.49
1/22/09,291.46,237.98,313.53,303.93
1/25/09,290.8,237.41,315.62,305.96
1/26/09,291.61,238.07,318.54,308.78
1/27/09,291.18,237.72,319.55,309.76
1/28/09,292.82,239.04,318.69,308.91
1/29/09,293.36,239.43,322.14,312.26
2/1/09,293.54,239.57,323.24,313.32
2/2/09,293.8,239.79,323.51,313.58
2/3/09,296.01,241.59,320.3,310.38
2/4/09,296.06,241.63,326.38,316.27
2/5/09,298.65,243.74,326.02,315.92
2/8/09,297.7,242.92,326.86,316.68
2/9/09,297.33,242.62,322.39,312.35
2/10/09,294.78,240.53,322.53,312.47
2/11/09,295.42,241.04,325.73,315.58
2/12/09,296.27,241.74,326.65,316.47
2/15/09,296.59,242,328.44,318.04
2/16/09,297.4,242.65,327.01,316.66
2/17/09,297.6,242.8,322.46,312.25
2/18/09,295.76,241.3,321.85,311.66
2/19/09,295.55,241.13,318.7,308.61
2/23/09,290.59,237.08,317.85,307.75
2/24/09,291.88,238.13,321.16,310.97
2/25/09,293.64,239.55,323.25,312.98
2/26/09,294.94,240.56,322.41,312.18
3/1/09,294,239.79,325.61,315.27
3/2/09,296.47,241.81,324.51,314.21
3/3/09,295.89,241.29,322.46,312.22
3/4/09,297.24,242.39,323.66,313.38
3/5/09,298.77,243.64,327.78,317.38
3/8/09,297.91,242.94,325.01,314.69
3/9/09,296.43,241.7,324.14,313.85
3/10/09,294.31,239.89,325.8,315.44
3/11/09,294.97,240.43,320.92,310.69
3/12/09,292.94,238.32,322.34,312.02
3/15/09,293.87,239.07,319.4,309.18
3/16/09,292.3,237.8,316.1,305.99
3/17/09,291.06,236.66,315.83,305.72
3/18/09,292.51,237.84,313.99,303.94
3/19/09,291.87,237.31,314.33,304.28
3/22/09,289.97,235.77,310.91,300.96
3/23/09,288.49,234.55,312.83,302.82
3/24/09,290.14,235.89,312.77,302.76
3/25/09,289.62,235.47,313.02,303.01
3/29/09,290.62,236.28,311.24,301.28
3/30/09,289.72,235.55,316.18,306.05
3/31/09,293.46,238.57,315.02,304.93
4/1/09,291.98,237.36,312.59,302.58
4/2/09,289.04,234.97,313.42,303.39
4/5/09,290.74,236.35,313.9,303.85
4/6/09,292.68,237.93,313.33,303.3
4/7/09,291.99,237.37,317.24,307.08
4/8/09,293.88,238.87,314.94,304.85
4/9/09,292.42,237.68,313.37,303.33
4/12/09,292.85,238.02,314.7,304.62
4/13/09,294,238.96,309.48,299.56
4/14/09,293.19,238.28,305.46,295.67
4/15/09,292.59,237.8,295.86,286.38
4/16/09,289.88,235.59,296.13,286.64
4/19/09,288.4,234.39,299.49,289.89
4/20/09,289.07,234.93,296.55,287.05
4/21/09,285.32,231.73,306.18,296.37
4/22/09,290.1,235.61,302.11,292.43
4/23/09,287.36,233.35,304.66,294.91
4/26/09,289.74,235.29,301.37,291.71
4/27/09,287.77,233.68,302.59,292.89
4/28/09,289.11,234.77,299.15,289.54
4/29/09,287.77,233.62,302.59,292.87
4/30/09,289.28,234.84,303.03,293.3
5/3/09,291.61,236.73,304.09,294.32
5/4/09,292.97,237.83,307.86,297.88
5/5/09,294.92,239.4,307.13,297.17
5/6/09,294.29,238.85,308.67,298.6
5/7/09,293.76,238.43,309.78,299.67
5/10/09,295.12,239.53,306.34,296.34
5/11/09,293.19,237.96,308.29,298.23
5/12/09,294.26,238.83,308.18,298.11
5/13/09,292.72,237.58,313.1,302.87
5/14/09,290.45,235.74,315.68,305.2
5/17/09,293.46,238.18,317.48,306.94
5/18/09,294.73,239.18,321.59,310.92
5/19/09,297.74,241.51,323.91,313.16
5/20/09,299.03,242.56,324.69,313.92
5/21/09,298.91,242.45,325.74,314.93
5/24/09,299.32,242.78,327.17,316.31
5/25/09,298.59,242.19,325.78,314.93
5/26/09,297.68,241.45,329.6,318.62
5/27/09,298.01,241.71,329.12,318.16
5/28/09,297.37,241.14,326.24,315.37
6/1/09,295.52,239.63,329.78,318.8
6/2/09,298.11,241.73,331.47,320.44
6/3/09,298.94,242.4,327.14,316.25
6/4/09,296.17,240.15,326.87,315.99
6/7/09,296.53,240.45,325.26,314.44
6/8/09,297.52,241.25,325.49,314.63
6/9/09,297.07,240.74,328.12,317.18
6/10/09,297.17,240.83,324.95,314.12
6/11/09,296.77,240.5,326.28,315.34
6/14/09,296.62,239.9,324.77,313.87
6/15/09,297.62,240.68,326.17,315.22
6/16/09,297.54,240.62,327.17,316.19
6/17/09,297.09,240.26,327.06,316.08
6/18/09,297.43,240.53,326.93,315.96
6/21/09,297.18,240.33,328.4,317.38
6/22/09,296.8,240.02,329.18,318.13
6/23/09,296.66,239.88,326.87,315.9
6/24/09,293.06,236.97,321.83,311.03
6/25/09,289.75,234.3,319.7,308.98
6/28/09,289.99,234.49,323.09,312.25
6/29/09,293.59,237.4,323.48,312.61
6/30/09,292.63,236.61,320.59,309.82
7/1/09,290.13,234.58,320.74,309.97
7/2/09,290.79,235.12,323.64,312.77
7/6/09,292.66,236.63,322.8,311.96
7/7/09,289.97,234.45,324.03,313.15
7/8/09,289.32,233.89,329.96,318.87
7/9/09,292.92,236.8,333.53,322.32
7/12/09,294.78,238.29,335.93,324.64
7/13/09,295.27,238.68,337.81,326.46
7/14/09,296.46,239.63,340.36,328.93
7/15/09,298.34,241.15,340.63,329.19
7/16/09,298.14,240.99,338.79,327.41
7/19/09,296.76,239.88,344.61,333.04
7/20/09,296.58,239.72,343.77,332.22
7/21/09,297.48,240.27,341.48,330.01
7/22/09,296.37,239.38,340.28,328.85
7/23/09,297.55,240.3,338.88,327.5
7/26/09,296.57,239.51,340.26,328.83
7/27/09,297.21,240.02,341.95,330.46
7/28/09,298.12,240.74,341.82,330.32
7/29/09,300.76,242.85,339.38,327.96
7/30/09,299.1,241.5,340.07,328.63
8/2/09,298.16,240.75,344.59,333
8/3/09,299.39,241.74,346.31,334.56
8/4/09,299.35,241.7,343.03,331.39
8/5/09,297.09,239.87,342.28,330.67
8/6/09,295.37,238.44,340.5,328.89
8/9/09,294.53,237.76,342.71,331.02
8/10/09,295.33,238.41,338.32,326.78
8/11/09,294.89,238.05,341,329.36
8/12/09,295.71,238.71,336.89,325.38
8/13/09,294.4,237.65,338.99,327.24
8/16/09,296.24,239.14,334.34,322.75
8/17/09,293.1,236.59,338.23,326.51
8/18/09,293.12,236.48,336.03,324.39
8/19/09,295.95,238.76,335.92,324.28
8/20/09,295.89,238.71,336.94,325.26
8/23/09,296.32,239.06,336.35,324.69
8/24/09,296.02,238.8,334.59,322.96
8/25/09,293.17,236.5,335.35,323.7
8/26/09,293.76,236.98,334.34,322.72
8/27/09,292.99,236.36,336.6,324.91
8/30/09,294.87,237.87,336.25,324.56
8/31/09,293.25,236.5,338.72,326.95
9/1/09,294.8,237.75,337.17,325.46
9/2/09,294.35,237.39,336.41,324.72
9/3/09,294.36,237.39,340.78,328.94
9/7/09,297.99,240.31,340.74,328.88
